Date,ppt (mm)
1/1/2025,3.36
1/2/2025,0
1/3/2025,0
1/4/2025,0
1/5/2025,0
1/6/2025,6.67
1/7/2025,11.66
1/8/2025,0
1/9/2025,0
1/10/2025,0
1/11/2025,9.9
1/12/2025,0
1/13/2025,0
1/14/2025,0
1/15/2025,0
1/16/2025,0
1/17/2025,0
1/18/2025,0
1/19/2025,0.4
1/20/2025,1.18
1/21/2025,0
1/22/2025,3.63
1/23/2025,0
1/24/2025,0
1/25/2025,0
1/26/2025,0
1/27/2025,0
1/28/2025,0
1/29/2025,0
1/30/2025,0
1/31/2025,4.91
2/1/2025,22.98
2/2/2025,0
2/3/2025,0
2/4/2025,0
2/5/2025,0
2/6/2025,0.84
2/7/2025,28.59
2/8/2025,0.72
2/9/2025,1.03
2/10/2025,4.3
2/11/2025,0
2/12/2025,39.52
2/13/2025,17.09
2/14/2025,3.46
2/15/2025,0
2/16/2025,25.02
2/17/2025,3.41
2/18/2025,0
2/19/2025,0
2/20/2025,15.77
2/21/2025,0.39
2/22/2025,0
2/23/2025,0
2/24/2025,0
2/25/2025,0
2/26/2025,0
2/27/2025,0
2/28/2025,6.04
3/1/2025,0
3/2/2025,0
3/3/2025,0
3/4/2025,0
3/5/2025,0
3/6/2025,37.95
3/7/2025,0
3/8/2025,0
3/9/2025,0
3/10/2025,0
3/11/2025,0
3/12/2025,0
3/13/2025,0
3/14/2025,0
3/15/2025,0
3/16/2025,0
3/17/2025,53.91
3/18/2025,0.97
3/19/2025,0
3/20/2025,0
3/21/2025,6.4
3/22/2025,0
3/23/2025,0
3/24/2025,0
3/25/2025,2.24
3/26/2025,2.8
3/27/2025,0
3/28/2025,0
3/29/2025,0
3/30/2025,0
3/31/2025,0
4/1/2025,16.33
4/2/2025,0
4/3/2025,0
4/4/2025,0
4/5/2025,0
4/6/2025,0
4/7/2025,2.57
4/8/2025,40.88
4/9/2025,0.31
4/10/2025,0
4/11/2025,1.1
4/12/2025,27.66
4/13/2025,0.29
4/14/2025,0
4/15/2025,0
4/16/2025,0
4/17/2025,0
4/18/2025,0
4/19/2025,0
4/20/2025,0
4/21/2025,0
4/22/2025,0
4/23/2025,8.48
4/24/2025,0
4/25/2025,0
4/26/2025,1.31
4/27/2025,0.74
4/28/2025,0
4/29/2025,0
4/30/2025,0
5/1/2025,0
5/2/2025,0
5/3/2025,0
5/4/2025,0.81
5/5/2025,11.2
5/6/2025,0.52
5/7/2025,0
5/8/2025,0
5/9/2025,5.49
5/10/2025,0.79
5/11/2025,0
5/12/2025,0
5/13/2025,9.56
5/14/2025,29.77
5/15/2025,55.87
5/16/2025,0
5/17/2025,0.88
5/18/2025,0
5/19/2025,0
5/20/2025,0
5/21/2025,10.23
5/22/2025,30
5/23/2025,0.34
5/24/2025,0
5/25/2025,0
5/26/2025,1.17
5/27/2025,0.27
5/28/2025,6.43
5/29/2025,9.66
5/30/2025,2.03
5/31/2025,0
6/1/2025,3.1
6/2/2025,0
6/3/2025,0
6/4/2025,0
6/5/2025,0
6/6/2025,1.17
6/7/2025,0
6/8/2025,4.31
6/9/2025,24.56
6/10/2025,0.36
6/11/2025,0.75
6/12/2025,0
6/13/2025,0
6/14/2025,0
6/15/2025,12.03
6/16/2025,15.64
6/17/2025,8.75
